(-1.683922, 4.527822, 32.693542),  (-1.683922, -4.527827, 32.693542),  (1.683922, 4.527822, 32.693542)
(1.683922, 4.527822, 32.693542),  (-1.683922, -4.527827, 32.693542),  (1.683922, -4.527827, 32.693542)
(-1.683922, -5.927827, 11.922389),  (-1.683922, -5.927827, -10.087667),  (1.683922, -5.927827, 11.922389)
(1.683922, -5.927827, 11.922389),  (-1.683922, -5.927827, -10.087667),  (1.683922, -5.927827, -10.087667)
(2.883922, -1.980225, -12.613571),  (2.883922, 1.980220, 32.693542),  (2.883922, -1.980225, 32.693542)
(2.883922, 1.980220, 32.693542),  (2.883922, -1.980225, -12.613571),  (2.883922, 1.980220, -12.613571)
(1.464353, 7.927822, 5.577845),  (1.464353, 7.927822, -5.400169),  (-1.464353, 7.927822, 5.577845)
(-1.464353, 7.927822, 5.577845),  (1.464353, 7.927822, -5.400169),  (-1.464353, 7.927822, -5.400169)
(-2.883922, 1.980220, -12.613571),  (-2.883922, -1.980225, 32.693542),  (-2.883922, 1.980220, 32.693542)
(-2.883922, -1.980225, 32.693542),  (-2.883922, 1.980220, -12.613571),  (-2.883922, -1.980225, -12.613571)
(-1.383922, -4.227827, -24.913574),  (-0.803682, -4.727827, -29.321793),  (1.383922, -4.227827, -24.913574)
(1.383922, -4.227827, -24.913574),  (-0.803682, -4.727827, -29.321793),  (0.803682, -4.727827, -29.321793)
(-1.683922, -4.527827, -12.613571),  (-1.683922, 4.527822, -12.613571),  (-1.683922, 3.713729, -16.113571)
(-1.683922, -4.527827, -12.613571),  (-1.683922, 3.713729, -16.113571),  (-1.683922, -4.527827, -16.113571)
(-0.803682, -7.827827, -32.197670),  (-0.803682, -4.727827, -36.238358),  (-0.803682, -7.827827, -36.238358)
(-0.803682, -4.727827, -36.238358),  (-0.803682, -7.827827, -32.197670),  (-0.803682, -4.727827, -29.321793)
(-1.683922, -4.527827, -16.113571),  (-1.683922, 3.713729, -16.113571),  (-1.683922, 2.810477, -19.613571)
(-1.683922, -4.527827, -16.113571),  (-1.683922, 2.810477, -19.613571),  (-1.683922, -4.896358, -19.613571)
(1.683922, -4.896358, -19.613571),  (1.683922, 2.377731, -24.813572),  (1.683922, 2.810477, -19.613571)
(1.683922, 2.377731, -24.813572),  (1.683922, -4.896358, -19.613571),  (1.683922, -5.723849, -24.813572)
(-1.403358, -15.684132, -6.078583),  (-1.403358, -4.077922, -1.855457),  (-1.403358, -2.450671, -6.464943)
(-1.403358, -15.684132, -6.078583),  (-1.403358, -2.450671, -6.464943),  (-1.403358, -13.594807, -11.562099)
(-1.383922, 1.255351, -24.913574),  (-1.383922, 1.255351, -36.213577),  (-1.383922, -4.227827, -24.913574)
(-1.383922, -4.227827, -24.913574),  (-1.383922, 1.255351, -36.213577),  (-1.383922, -4.227827, -36.213577)
(-1.683922, -5.723849, -24.813572),  (-1.683922, 2.377731, -24.813572),  (-1.383922, 1.255351, -24.913574)
(-1.383922, 1.255351, -24.913574),  (-1.383922, -4.227827, -24.913574),  (-1.683922, -5.723849, -24.813572)
(-1.683922, 2.377731, -24.813572),  (1.683922, 2.377731, -24.813572),  (1.383922, 1.255351, -24.913574)
(1.383922, 1.255351, -24.913574),  (-1.383922, 1.255351, -24.913574),  (-1.683922, 2.377731, -24.813572)
(1.683922, 2.377731, -24.813572),  (1.683922, -5.723849, -24.813572),  (1.383922, -4.227827, -24.913574)
(1.383922, -4.227827, -24.913574),  (1.383922, 1.255351, -24.913574),  (1.683922, 2.377731, -24.813572)
(1.683922, -5.723849, -24.813572),  (-1.683922, -5.723849, -24.813572),  (-1.383922, -4.227827, -24.913574)
(-1.383922, -4.227827, -24.913574),  (1.383922, -4.227827, -24.913574),  (1.683922, -5.723849, -24.813572)
(0.904762, 2.155351, -32.409096),  (0.904762, 2.155351, -36.214218),  (-0.904762, 2.155351, -32.409096)
(-0.904762, 2.155351, -32.409096),  (0.904762, 2.155351, -36.214218),  (-0.904762, 2.155351, -36.214218)
(1.383922, -4.227827, -24.913574),  (1.383922, -4.227827, -36.213577),  (1.383922, 1.255351, -24.913574)
(1.383922, 1.255351, -24.913574),  (1.383922, -4.227827, -36.213577),  (1.383922, 1.255351, -36.213577)
(0.803682, -10.427828, -33.505737),  (-0.803682, -10.427828, -33.505737),  (-0.803682, -10.427828, -36.238358)
(0.803682, -10.427828, -33.505737),  (-0.803682, -10.427828, -36.238358),  (0.803682, -10.427828, -36.238358)
(-1.383922, -4.227827, -36.213577),  (1.383922, -4.227827, -36.213577),  (0.803682, -4.727827, -36.238358)
(0.803682, -4.727827, -36.238358),  (-0.803682, -4.727827, -36.238358),  (-1.383922, -4.227827, -36.213577)
(1.683922, -4.527827, -16.113571),  (1.683922, 2.810477, -19.613571),  (1.683922, 3.713729, -16.113571)
(1.683922, 2.810477, -19.613571),  (1.683922, -4.527827, -16.113571),  (1.683922, -4.896358, -19.613571)
(-1.383922, -4.227827, -24.913574),  (-1.383922, -4.227827, -36.213577),  (-0.803682, -4.727827, -36.238358)
(-0.803682, -4.727827, -36.238358),  (-0.803682, -4.727827, -29.321793),  (-1.383922, -4.227827, -24.913574)
(1.383922, -4.227827, -36.213577),  (1.383922, -4.227827, -24.913574),  (0.803682, -4.727827, -29.321793)
(0.803682, -4.727827, -29.321793),  (0.803682, -4.727827, -36.238358),  (1.383922, -4.227827, -36.213577)
(0.803682, -4.727827, -29.321793),  (0.803682, -7.827827, -32.197670),  (0.803682, -4.727827, -36.238358)
(0.803682, -7.827827, -32.197670),  (0.803682, -7.827827, -36.238358),  (0.803682, -4.727827, -36.238358)
(2.945894, 3.634928, 5.396317),  (2.945894, 3.634928, -5.257786),  (2.443840, 9.084046, 1.685287)
(2.443840, 9.084046, 1.685287),  (2.945894, 3.634928, -5.257786),  (2.443840, 9.084046, -3.428795)
(1.683922, 4.527822, 32.693542),  (1.464353, 5.027822, 5.577845),  (-1.683922, 4.527822, 32.693542)
(-1.683922, 4.527822, 32.693542),  (1.464353, 5.027822, 5.577845),  (-1.464353, 5.027822, 5.577845)
(-0.803682, -7.827827, -32.197670),  (-0.803682, -7.827827, -36.238358),  (-0.803682, -10.427828, -36.238358)
(-0.803682, -10.427828, -36.238358),  (-0.803682, -10.427828, -33.505737),  (-0.803682, -7.827827, -32.197670)
(0.803682, -7.827827, -36.238358),  (0.803682, -7.827827, -32.197670),  (0.803682, -10.427828, -33.505737)
(0.803682, -10.427828, -33.505737),  (0.803682, -10.427828, -36.238358),  (0.803682, -7.827827, -36.238358)
(1.383922, 1.255351, -36.213577),  (-1.383922, 1.255351, -36.213577),  (-0.904762, 1.355351, -36.214218)
(-0.904762, 1.355351, -36.214218),  (0.904762, 1.355351, -36.214218),  (1.383922, 1.255351, -36.213577)
(1.683922, -4.527827, -12.613571),  (1.683922, 3.713729, -16.113571),  (1.683922, 4.527822, -12.613571)
(1.683922, 3.713729, -16.113571),  (1.683922, -4.527827, -12.613571),  (1.683922, -4.527827, -16.113571)
(-1.383922, 1.255351, -36.213577),  (-1.383922, 1.255351, -24.913574),  (-0.904762, 1.355351, -29.748459)
(-0.904762, 1.355351, -29.748459),  (-0.904762, 1.355351, -36.214218),  (-1.383922, 1.255351, -36.213577)
(1.383922, 1.255351, -24.913574),  (1.383922, 1.255351, -36.213577),  (0.904762, 1.355351, -36.214218)
(0.904762, 1.355351, -36.214218),  (0.904762, 1.355351, -29.748459),  (1.383922, 1.255351, -24.913574)
(0.904762, 1.355351, -36.214218),  (-0.904762, 1.355351, -36.214218),  (-0.904762, 2.155351, -36.214218)
(0.904762, 1.355351, -36.214218),  (-0.904762, 2.155351, -36.214218),  (0.904762, 2.155351, -36.214218)
(0.904762, 1.355351, -29.748459),  (0.904762, 1.355351, -36.214218),  (0.904762, 2.155351, -36.214218)
(0.904762, 2.155351, -36.214218),  (0.904762, 2.155351, -32.409096),  (0.904762, 1.355351, -29.748459)
(-1.683922, -4.527827, 32.693542),  (-1.683922, -4.627827, 12.228969),  (1.683922, -4.527827, 32.693542)
(1.683922, -4.527827, 32.693542),  (-1.683922, -4.627827, 12.228969),  (1.683922, -4.627827, 12.228969)
(-0.904762, 1.355351, -36.214218),  (-0.904762, 1.355351, -29.748459),  (-0.904762, 2.155351, -32.409096)
(-0.904762, 2.155351, -32.409096),  (-0.904762, 2.155351, -36.214218),  (-0.904762, 1.355351, -36.214218)
(-1.683922, -4.627827, -10.446342),  (-1.683922, -4.527827, -12.613571),  (1.683922, -4.627827, -10.446342)
(1.683922, -4.627827, -10.446342),  (-1.683922, -4.527827, -12.613571),  (1.683922, -4.527827, -12.613571)
(1.683922, -5.927827, -10.087667),  (-1.683922, -5.927827, -10.087667),  (-1.683922, -4.627827, -10.446342)
(1.683922, -5.927827, -10.087667),  (-1.683922, -4.627827, -10.446342),  (1.683922, -4.627827, -10.446342)
(1.683922, -4.527827, -12.613571),  (1.683922, -4.527827, 32.693542),  (1.683922, -4.627827, 12.228969)
(1.683922, -4.627827, 12.228969),  (1.683922, -4.627827, -10.446342),  (1.683922, -4.527827, -12.613571)
(-1.683922, -4.527827, 32.693542),  (-1.683922, -4.527827, -12.613571),  (-1.683922, -4.627827, -10.446342)
(-1.683922, -4.627827, -10.446342),  (-1.683922, -4.627827, 12.228969),  (-1.683922, -4.527827, 32.693542)
(1.683922, -4.627827, 12.228969),  (1.683922, -5.927827, -10.087667),  (1.683922, -4.627827, -10.446342)
(1.683922, -5.927827, -10.087667),  (1.683922, -4.627827, 12.228969),  (1.683922, -5.927827, 11.922389)
(1.683922, -4.627827, 12.228969),  (-1.683922, -4.627827, 12.228969),  (-1.683922, -5.927827, 11.922389)
(1.683922, -4.627827, 12.228969),  (-1.683922, -5.927827, 11.922389),  (1.683922, -5.927827, 11.922389)
(-1.683922, -4.627827, 12.228969),  (-1.683922, -5.927827, -10.087667),  (-1.683922, -5.927827, 11.922389)
(-1.683922, -5.927827, -10.087667),  (-1.683922, -4.627827, 12.228969),  (-1.683922, -4.627827, -10.446342)
