(0.020891, 1.638726, -0.031723)
(0.020891, 1.740180, 0.040181)
(0.032508, 1.624942, -0.012273)
(0.032508, 1.726395, 0.059630)
(0.032508, 1.607903, 0.011768)
(0.032508, 1.709355, 0.083672)
(0.020891, 1.594118, 0.031218)
(0.020891, 1.695570, 0.103122)
(0.181952, 1.558712, -0.039770)
(0.244000, 1.558712, -0.101817)
(0.306047, 1.558712, -0.039770)
(0.244000, 1.558712, 0.022278)
(0.244000, 1.496665, -0.039770)
(0.244000, 1.620759, -0.039770)
(0.200126, 1.558712, 0.004104)
(0.200126, 1.602586, -0.039770)
(0.200126, 1.558712, -0.083644)
(0.200126, 1.514838, -0.039770)
(0.244000, 1.602586, -0.083644)
(0.287874, 1.558712, -0.083644)
(0.244000, 1.514838, -0.083644)
(0.287874, 1.602586, -0.039770)
(0.287874, 1.558712, 0.004104)
(0.287874, 1.514838, -0.039770)
(0.244000, 1.602586, 0.004104)
(0.244000, 1.514838, 0.004104)
(0.208177, 1.522889, -0.003947)
(0.208177, 1.522889, -0.075593)
(0.279823, 1.522889, -0.075593)
(0.279823, 1.522889, -0.003947)
(0.208177, 1.594535, -0.003947)
(0.208177, 1.594535, -0.075593)
(0.279823, 1.594535, -0.075593)
(0.279823, 1.594535, -0.003947)
(0.041233, 1.715613, 0.062205)
(0.061088, 1.610137, 0.004833)
(0.032945, 1.716313, 0.058049)
(0.052800, 1.610837, 0.000678)
(0.032205, 1.720634, 0.049849)
(0.052060, 1.615158, -0.007522)
(0.039754, 1.724255, 0.045805)
(0.059609, 1.618779, -0.011567)
(0.048043, 1.723554, 0.049961)
(0.067898, 1.618079, -0.007411)
(0.048782, 1.719234, 0.058161)
(0.068637, 1.613758, 0.000789)
(0.022404, 1.694110, 0.123379)
(0.038088, 1.588158, 0.065595)
(0.014534, 1.695532, 0.118635)
(0.030219, 1.589580, 0.060852)
(0.014760, 1.700008, 0.110489)
(0.030445, 1.594056, 0.052705)
(0.022856, 1.703062, 0.107086)
(0.038541, 1.597111, 0.049302)
(0.030726, 1.701640, 0.111829)
(0.046411, 1.595688, 0.054046)
(0.030500, 1.697164, 0.119976)
(0.046184, 1.591212, 0.062193)
(0.088300, 1.296118, 0.175444)
(0.183374, 1.237437, 0.049189)
(0.233031, 1.372352, 0.049408)
(0.239415, 1.427824, 0.047223)
(0.124382, 1.436696, 0.190866)
(0.180324, 1.488150, 0.113847)
(0.068131, 1.587869, 0.128403)
(0.224029, 1.594543, 0.067351)
(0.125714, 1.638150, 0.091447)
(0.183374, 1.237437, -0.076750)
(0.233031, 1.372352, -0.076531)
(0.226870, 1.411602, -0.075284)
(0.120102, 1.257650, -0.106464)
(0.169759, 1.390121, -0.119225)
(0.169794, 1.444278, -0.121576)
(0.259603, 1.677653, -0.017674)
(0.157376, 1.705749, -0.017471)
(0.244853, 1.644763, 0.038833)
(0.149376, 1.675322, 0.051047)
(0.228334, 1.592829, -0.102131)
(0.247720, 1.643648, -0.073681)
(0.122173, 1.692237, -0.085989)
(0.198214, 1.515601, -0.122889)
(0.239142, 1.031502, 0.080164)
(0.247395, 1.031502, -0.040167)
(0.247395, 0.631448, 0.063278)
(0.247395, 0.665296, -0.025970)
(0.180014, 1.108550, 0.058505)
(0.188267, 1.108550, -0.044315)
(0.216021, 1.032139, 0.098470)
(0.218531, 0.605788, 0.107065)
(0.082995, 0.913965, 0.108837)
(0.115624, 0.604741, 0.104128)
(0.045265, 0.881510, 0.090100)
(0.080252, 0.638874, 0.063401)
(0.045265, 0.881275, -0.046141)
(0.074105, 0.671714, -0.025163)
(0.210058, 0.665455, -0.056435)
(0.210063, 0.927881, -0.104496)
(0.085449, 0.906315, -0.094297)
(0.108841, 0.672998, -0.054769)
(0.237379, 0.562734, 0.033280)
(0.237379, 0.598492, -0.042303)
(0.211036, 0.537285, 0.088487)
(0.117115, 0.536575, 0.085849)
(0.084833, 0.569210, 0.033903)
(0.079223, 0.604040, -0.041152)
(0.203303, 0.600747, -0.068895)
(0.110925, 0.607218, -0.066916)
(0.239641, 0.449128, -0.021166)
(0.239641, 0.499987, -0.096341)
(0.215188, 0.415798, 0.013734)
(0.128009, 0.415472, 0.010787)
(0.098044, 0.450055, -0.019427)
(0.092836, 0.498421, -0.094189)
(0.208011, 0.506802, -0.124496)
(0.122263, 0.506091, -0.121304)
(0.237812, 0.149814, -0.084252)
(0.237812, 0.149814, -0.140583)
(0.222635, 0.149814, -0.054669)
(0.168525, 0.149814, -0.056059)
(0.149925, 0.149814, -0.083691)
(0.146693, 0.149814, -0.138932)
(0.218180, 0.149814, -0.157364)
(0.164958, 0.149814, -0.155483)
(0.209741, 0.458371, -0.169089)
(0.104485, 0.436535, -0.142867)
(0.130918, 0.446209, -0.167232)
(0.105470, 0.407663, -0.028626)
(0.239497, 0.425762, -0.026141)
(0.239336, 0.455079, -0.142708)
(0.162845, 1.087246, 0.098470)
(0.065619, 0.938222, 0.108837)
(0.037764, 0.896980, 0.090100)
(0.037826, 0.896752, -0.046141)
(0.126930, 1.004601, -0.104496)
(0.070001, 0.931488, -0.094297)
(0.020264, 1.720659, 0.182303)
(0.022618, 1.652514, 0.183660)
(0.028842, 1.653096, 0.164612)
(0.024711, 1.725952, 0.171192)
(0.070144, 1.759253, 0.091683)
(0.059764, 1.751266, 0.133933)
(0.060711, 1.705485, 0.081916)
(0.052474, 1.721779, 0.129539)
(0.045291, 1.674200, 0.131832)
(0.039644, 1.714100, 0.157026)
(0.010132, 1.725189, 0.182438)
(0.012356, 1.736666, 0.175225)
(0.017905, 1.765495, 0.178432)
(0.014962, 1.779305, 0.175509)
(0.047647, 1.768814, 0.157774)
(0.036053, 1.756467, 0.155479)
(0.046963, 1.741666, 0.143445)
(0.045042, 1.732615, 0.145821)
(0.030225, 1.729475, 0.154929)
(0.025129, 1.733226, 0.160798)
(0.057825, 1.763114, 0.143086)
(0.044946, 1.749813, 0.145746)
(0.012447, 1.743671, 0.163630)
(0.026300, 1.754825, 0.161705)
(0.030821, 1.766599, 0.172161)
(0.017302, 1.798828, 0.172031)
(0.039338, 1.790722, 0.168282)
(0.033105, 1.781957, 0.172650)
(0.067023, 1.815896, 0.096226)
(0.069506, 1.829332, 0.072386)
(0.072072, 1.829533, 0.052487)
(0.075455, 1.812796, 0.032124)
(0.077740, 1.799935, 0.018906)
(0.076162, 1.732635, 0.010227)
(0.077225, 1.765187, 0.034897)
(0.023547, 1.849815, 0.126750)
(0.025346, 1.866371, 0.084830)
(0.027317, 1.804021, -0.020511)
(0.026845, 1.837242, 0.003386)
(0.028268, 1.864164, 0.036165)
(0.020203, 1.824567, 0.157993)
