(0.259983,  1.192517,  -0.140092),  (0.051465,  0.777034)
(0.206803,  1.179410,  -0.173567),  (0.009602,  0.780788)
(0.218678,  1.123243,  -0.196403),  (0.008717,  0.836808)
(0.357762,  0.693429,  -0.125132),  (0.933503,  0.281205)
(0.404105,  0.676977,  -0.147610),  (0.899182,  0.281378)
(0.409679,  0.638295,  -0.108216),  (0.898772,  0.319487)
(0.229126,  0.778294,  -0.377630),  (0.925846,  0.187630)
(0.288759,  0.827928,  -0.402929),  (0.941038,  0.149799)
(0.262685,  0.801864,  -0.352806),  (0.952319,  0.181095)
(0.092714,  1.171498,  -0.314247),  (0.136243,  0.809578)
(0.070147,  1.240381,  -0.264527),  (0.126577,  0.750564)
(0.052924,  1.313513,  -0.292407),  (0.166913,  0.724547)
(0.280163,  1.244183,  -0.467939),  (0.383330,  0.797801)
(0.248318,  1.316712,  -0.466169),  (0.367180,  0.740473)
(0.308225,  1.333384,  -0.438870),  (0.412658,  0.732379)
(0.193256,  0.737789,  -0.373687),  (0.913759,  0.214914)
(0.200114,  0.736268,  -0.323909),  (0.941173,  0.224632)
(0.170051,  0.699046,  -0.313362),  (0.936939,  0.252598)
(0.542328,  1.311425,  -0.066153),  (0.369047,  0.308695)
(0.568685,  1.311617,  -0.041524),  (0.358786,  0.317763)
(0.578501,  1.285311,  -0.013227),  (0.359713,  0.337962)
(0.511497,  1.231181,  0.034570),  (0.216032,  0.381046)
(0.487456,  1.205155,  0.063241),  (0.227556,  0.406483)
(0.481617,  1.223607,  0.083587),  (0.243882,  0.401064)
(0.458371,  0.594590,  -0.045364),  (0.868363,  0.391516)
(0.460458,  0.623720,  -0.064177),  (0.865165,  0.356153)
(0.498344,  0.650097,  -0.033822),  (0.821642,  0.357023)
(0.290138,  1.071198,  -0.200522),  (0.059537,  0.891090)
(0.270468,  1.124442,  -0.169230),  (0.047767,  0.838915)
(0.218678,  1.123243,  -0.196403),  (0.008717,  0.836808)
(0.387676,  0.802211,  -0.304975),  (0.905963,  0.169061)
(0.356783,  0.783120,  -0.292551),  (0.925846,  0.187630)
(0.342900,  0.828728,  -0.368799),  (0.941038,  0.149799)
(-0.126022,  1.218540,  -0.291246),  (0.287403,  0.346460)
(-0.115186,  1.225203,  -0.300062),  (0.300306,  0.337763)
(-0.101106,  1.164049,  -0.322666),  (0.310052,  0.370833)
(-0.016062,  1.254974,  -0.300978),  (0.175552,  0.296802)
(-0.037319,  1.251636,  -0.239827),  (0.213445,  0.313548)
(-0.044316,  1.214178,  -0.249496),  (0.191932,  0.340916)
(0.068096,  1.637140,  -0.084797),  (0.504659,  0.278061)
(0.098044,  1.654571,  -0.078413),  (0.478943,  0.285504)
(0.099640,  1.673305,  -0.116765),  (0.468171,  0.251918)
(0.547977,  0.361382,  0.019619),  (0.838421,  0.598919)
(0.545278,  0.424979,  0.003904),  (0.828483,  0.556354)
(0.543626,  0.434743,  0.028710),  (0.810346,  0.557726)
(0.026973,  0.299200,  -0.441103),  (0.886700,  0.602594)
(-0.018915,  0.313891,  -0.431072),  (0.857312,  0.598932)
(-0.021423,  0.377934,  -0.422053),  (0.846886,  0.557005)
(0.581415,  1.365335,  -0.013876),  (0.315120,  0.301473)
(0.558854,  1.387140,  -0.069906),  (0.323988,  0.276645)
(0.548695,  1.403655,  -0.032132),  (0.303124,  0.277195)
(-0.020771,  0.602906,  -0.333928),  (0.821642,  0.357023)
(0.033213,  0.579999,  -0.343526),  (0.865165,  0.356153)
(0.023781,  0.548111,  -0.330716),  (0.868363,  0.391516)
(0.237381,  1.563473,  -0.116529),  (0.588642,  0.876496)
(0.245046,  1.601012,  -0.135179),  (0.623770,  0.869854)
(0.230977,  1.615606,  -0.117255),  (0.623922,  0.850139)
(0.132587,  1.449701,  -0.127495),  (0.514980,  0.928080)
(0.124973,  1.470390,  -0.101792),  (0.512789,  0.899209)
(0.106491,  1.491473,  -0.117671),  (0.540194,  0.891843)
(-0.547886,  0.439300,  0.415845),  (0.305134,  0.554973)
(-0.423215,  0.430224,  0.448397),  (0.305134,  0.510470)
(-0.383221,  0.464288,  0.317683),  (0.197729,  0.510470)
(-0.344346,  0.358861,  0.501691),  (0.343042,  0.979023)
(-0.529540,  0.372344,  0.453336),  (0.343042,  0.911684)
(-0.467682,  0.410074,  0.308263),  (0.221206,  0.918012)
(-0.048043,  1.269386,  -0.367713),  (0.376609,  0.277739)
(-0.078709,  1.261152,  -0.355458),  (0.363500,  0.288565)
(-0.068530,  1.297646,  -0.376952),  (0.361242,  0.265962)
(0.208810,  1.224660,  -0.460028),  (0.339438,  0.807996)
(0.248318,  1.316712,  -0.466169),  (0.367180,  0.740473)
(0.280163,  1.244183,  -0.467939),  (0.383330,  0.797801)
(0.420606,  0.346300,  0.080115),  (0.715686,  0.647086)
(0.441491,  0.275628,  0.098303),  (0.737341,  0.691633)
(0.450890,  0.292305,  0.115475),  (0.748736,  0.677734)
(0.548664,  0.188347,  0.032634),  (0.882706,  0.713529)
(0.537942,  0.244404,  0.011401),  (0.882434,  0.668843)
(0.549229,  0.256236,  0.037419),  (0.862238,  0.668484)
(-0.295535,  1.009085,  0.645342),  (0.417555,  0.554973)
(-0.420206,  1.018162,  0.612790),  (0.417555,  0.510470)
(-0.380213,  1.052226,  0.482077),  (0.310149,  0.510470)
(-0.525988,  1.066602,  0.647458),  (0.343042,  0.869731)
(-0.457560,  1.035923,  0.749631),  (0.408293,  0.836061)
(-0.386166,  1.096733,  0.516292),  (0.216696,  0.836061)
(0.371881,  0.746006,  -0.243038),  (0.913759,  0.214914)
(0.356783,  0.783120,  -0.292551),  (0.925846,  0.187630)
(0.387676,  0.802211,  -0.304975),  (0.905963,  0.169061)
(-0.031080,  0.212252,  -0.435272),  (0.862238,  0.668484)
(-0.004008,  0.207419,  -0.449877),  (0.882434,  0.668843)
(-0.018137,  0.143462,  -0.454741),  (0.882706,  0.713529)
(0.100880,  0.387387,  -0.329342),  (0.962983,  0.529825)
(0.070311,  0.266719,  -0.346286),  (0.970180,  0.609696)
(0.087410,  0.284309,  -0.382192),  (0.944433,  0.599683)
(0.215884,  1.660537,  -0.167497),  (0.670742,  0.850212)
(0.227398,  1.634432,  -0.189590),  (0.670621,  0.871602)
(0.192901,  1.640487,  -0.213752),  (0.696854,  0.871590)
(0.117906,  1.556250,  -0.065051),  (0.536076,  0.812600)
(0.102495,  1.517148,  -0.098266),  (0.543292,  0.862922)
(0.126784,  1.523186,  -0.071518),  (0.517109,  0.842413)
(-0.042947,  0.573271,  -0.208728),  (0.731162,  0.392919)
(0.000319,  0.561635,  -0.208140),  (0.703664,  0.397054)
(0.010758,  0.614529,  -0.203982),  (0.703315,  0.362713)
(0.152741,  0.827939,  -0.439015),  (0.857340,  0.158901)
(0.108929,  0.822540,  -0.426014),  (0.834585,  0.177673)
(0.136584,  0.876417,  -0.447270),  (0.834415,  0.132120)
(0.223274,  0.865996,  -0.465684),  (0.887242,  0.119467)
(0.253840,  0.859057,  -0.453504),  (0.906677,  0.120851)
(0.234396,  0.821948,  -0.421580),  (0.909126,  0.150456)
(-0.038513,  0.380036,  -0.272241),  (0.732076,  0.576560)
(-0.068072,  0.379392,  -0.293225),  (0.749419,  0.572514)
(-0.064440,  0.316355,  -0.314121),  (0.762746,  0.607894)
(0.028763,  0.369973,  -0.262804),  (0.694767,  0.593097)
(0.020931,  0.299768,  -0.287940),  (0.711064,  0.633566)
(0.049674,  0.274883,  -0.316888),  (0.697309,  0.659585)
(0.467359,  0.128824,  0.187080),  (0.887898,  0.900698)
(0.453384,  0.079331,  0.169025),  (0.848785,  0.906177)
(0.447055,  0.069994,  0.205720),  (0.856359,  0.934702)
(0.326692,  0.998277,  -0.455202),  (0.423474,  0.967445)
(0.298686,  0.998676,  -0.466625),  (0.403211,  0.966485)
(0.281550,  1.042915,  -0.470646),  (0.390545,  0.938379)
(0.456832,  1.004141,  -0.357229),  (0.336360,  0.963357)
(0.443315,  1.062758,  -0.336236),  (0.326019,  0.926735)
(0.445700,  1.063065,  -0.283275),  (0.290926,  0.935372)
(0.438776,  0.243746,  0.041392),  (0.964335,  0.662267)
(0.435720,  0.257657,  0.074733),  (0.989008,  0.658993)
(0.405818,  0.350977,  0.045531),  (0.994165,  0.591162)
(0.443135,  1.226828,  -0.311361),  (0.339438,  0.807996)
(0.419265,  1.243496,  -0.384334),  (0.383330,  0.797801)
(0.428790,  1.317338,  -0.351482),  (0.367180,  0.740473)
